date,ticker,open_price,close_price,high_price,low_price,volume
2026-06-26,EURUSD=X,1.1364,1.1362,1.1434,1.1355,0
2026-06-29,EURUSD=X,1.1384,1.1386,1.1426,1.1382,0
2026-06-30,EURUSD=X,1.1419,1.1422,1.1434,1.1383,0
2026-07-01,EURUSD=X,1.1413,1.1413,1.1417,1.1362,0
2026-07-02,EURUSD=X,1.1378,1.1378,1.1472,1.1375,0
2026-07-03,EURUSD=X,1.1424,1.1423,1.1465,1.1421,0
2026-07-06,EURUSD=X,1.1436,1.1438,1.1444,1.141,0
2026-07-07,EURUSD=X,1.1442,1.1442,1.1447,1.1423,0
2026-07-08,EURUSD=X,1.1401,1.1404,1.1432,1.1392,0
2026-07-09,EURUSD=X,1.1422,1.1422,1.1451,1.1421,0
2026-07-10,EURUSD=X,1.1434,1.1433,1.1463,1.1418,0
2026-07-13,EURUSD=X,1.1404,1.1404,1.1446,1.1387,0
2026-07-14,EURUSD=X,1.1384,1.1384,1.1461,1.1379,0
2026-07-15,EURUSD=X,1.1425,1.1425,1.1446,1.1407,0
2026-07-16,EURUSD=X,1.1473,1.147,1.1478,1.1438,0
2026-07-17,EURUSD=X,1.1447,1.1445,1.1453,1.1425,0
2026-07-20,EURUSD=X,1.1427,1.1428,1.145,1.1405,0
2026-07-21,EURUSD=X,1.1416,1.1418,1.1429,1.1403,0
2026-07-22,EURUSD=X,1.1402,1.1404,1.1421,1.14,0
2026-07-23,EURUSD=X,1.1413,1.1412,1.1438,1.1365,0
2026-07-24,EURUSD=X,1.1376,1.1377,1.14,1.1368,0
2026-07-27,EURUSD=X,1.1398,1.1395,1.1418,1.137,0
2026-07-28,EURUSD=X,1.1369,1.1369,1.1402,1.1354,0
2026-07-29,EURUSD=X,1.1384,1.1387,1.1405,1.1376,0
2026-07-30,EURUSD=X,1.1468,1.1467,1.1535,1.1435,0
2026-07-31,EURUSD=X,1.1526,1.1524,1.1526,1.1459,0
2026-08-03,EURUSD=X,1.154,1.1544,1.1555,1.1503,0
2026-08-04,EURUSD=X,1.1508,1.1507,1.1531,1.1504,0
2026-08-05,EURUSD=X,1.1532,1.1532,1.1559,1.1528,0
2026-08-06,EURUSD=X,1.1556,1.1557,1.1562,1.152,0
2026-08-07,EURUSD=X,1.1523,1.1525,1.1579,1.1518,0
2026-08-10,EURUSD=X,1.1556,1.1556,1.1566,1.1545,0
2026-08-11,EURUSD=X,1.1547,1.1546,1.1553,1.1532,0
2026-08-12,EURUSD=X,1.1543,1.1544,1.1562,1.1533,0
2026-08-13,EURUSD=X,1.1529,1.153,1.1547,1.1513,0
2026-08-14,EURUSD=X,1.1534,1.1535,1.1586,1.1533,0
2026-08-17,EURUSD=X,1.1576,1.1574,1.1614,1.1576,0
2026-08-18,EURUSD=X,1.1585,1.1583,1.1589,1.1567,0
2026-08-19,EURUSD=X,1.1577,1.1579,1.1678,1.1572,0
2026-08-20,EURUSD=X,1.1675,1.1674,1.1711,1.167,0
2026-08-21,EURUSD=X,1.1688,1.1688,1.1712,1.167,0
2026-08-24,EURUSD=X,1.1685,1.1682,1.1692,1.1661,0
2026-08-25,EURUSD=X,1.1668,1.1668,1.1675,1.1652,0
2026-08-26,EURUSD=X,1.1675,1.1675,1.1678,1.1643,0
2026-08-27,EURUSD=X,1.1655,1.1655,1.1662,1.1637,0
2026-08-28,EURUSD=X,1.1653,1.1656,1.1656,1.1596,0
2026-08-31,EURUSD=X,1.159,1.1589,1.1623,1.1585,0
2026-09-01,EURUSD=X,1.1617,1.1618,1.1625,1.1589,0
2026-09-02,EURUSD=X,1.1596,1.1596,1.1608,1.1571,0
2026-04-30,GBPUSD=X,1.349,1.3489,1.3593,1.3455,0
2026-05-01,GBPUSD=X,1.3603,1.3603,1.3658,1.3589,0
2026-05-04,GBPUSD=X,1.3581,1.3581,1.3601,1.3527,0
2026-05-05,GBPUSD=X,1.3532,1.3531,1.3578,1.3514,0
2026-05-06,GBPUSD=X,1.3569,1.3569,1.3643,1.3564,0
2026-05-07,GBPUSD=X,1.3591,1.3592,1.3632,1.3591,0
2026-05-08,GBPUSD=X,1.3556,1.3556,1.363,1.355,0
2026-05-11,GBPUSD=X,1.3594,1.3595,1.3652,1.3581,0
2026-05-12,GBPUSD=X,1.3601,1.3605,1.3605,1.3503,0
2026-05-13,GBPUSD=X,1.3536,1.3537,1.3551,1.3488,0
2026-05-14,GBPUSD=X,1.3526,1.3526,1.3534,1.3475,0
2026-05-15,GBPUSD=X,1.339,1.3391,1.3392,1.3317,0
2026-05-18,GBPUSD=X,1.3311,1.3308,1.3424,1.3304,0
2026-05-19,GBPUSD=X,1.3434,1.3432,1.3434,1.338,0
2026-05-20,GBPUSD=X,1.3392,1.3396,1.3462,1.3379,0
2026-05-21,GBPUSD=X,1.3435,1.3434,1.3452,1.3394,0
2026-05-22,GBPUSD=X,1.343,1.3433,1.3459,1.3414,0
2026-05-25,GBPUSD=X,1.3482,1.3482,1.3508,1.3472,0
2026-05-26,GBPUSD=X,1.3496,1.3496,1.3497,1.3436,0
2026-05-27,GBPUSD=X,1.3457,1.3455,1.3459,1.3417,0
2026-05-28,GBPUSD=X,1.3416,1.3417,1.3448,1.3368,0
2026-05-29,GBPUSD=X,1.3445,1.3444,1.3485,1.341,0
2026-06-01,GBPUSD=X,1.345,1.3452,1.3476,1.3409,0
2026-06-02,GBPUSD=X,1.346,1.346,1.3481,1.3452,0
2026-06-03,GBPUSD=X,1.3453,1.3454,1.3473,1.3422,0
2026-06-04,GBPUSD=X,1.3427,1.3427,1.3463,1.3413,0
2026-06-05,GBPUSD=X,1.3425,1.3427,1.3483,1.3357,0
2026-06-08,GBPUSD=X,1.3336,1.3336,1.337,1.3307,0
2026-06-09,GBPUSD=X,1.3333,1.3333,1.3409,1.3332,0
2026-06-10,GBPUSD=X,1.3372,1.3372,1.3423,1.3369,0
2026-06-11,GBPUSD=X,1.3366,1.3362,1.3392,1.3326,0
2026-06-12,GBPUSD=X,1.3412,1.3414,1.3426,1.3385,0
2026-06-15,GBPUSD=X,1.3453,1.345,1.3461,1.3418,0
2026-06-16,GBPUSD=X,1.3417,1.3416,1.3441,1.3392,0
2026-06-17,GBPUSD=X,1.3425,1.3426,1.3435,1.3389,0
2026-06-18,GBPUSD=X,1.3305,1.3301,1.3326,1.3207,0
2026-06-19,GBPUSD=X,1.3206,1.3202,1.3242,1.3164,0
2026-06-22,GBPUSD=X,1.3208,1.3208,1.3272,1.3185,0
2026-06-23,GBPUSD=X,1.3246,1.3247,1.325,1.3186,0
2026-06-24,GBPUSD=X,1.3201,1.32,1.3209,1.3143,0
2026-06-25,GBPUSD=X,1.3163,1.3167,1.3217,1.3153,0
2026-06-26,GBPUSD=X,1.319,1.3188,1.3232,1.3181,0
2026-06-29,GBPUSD=X,1.3196,1.3197,1.3256,1.3195,0
2026-06-30,GBPUSD=X,1.3253,1.3254,1.3276,1.3215,0
2026-07-01,GBPUSD=X,1.325,1.3251,1.329,1.3222,0
2026-07-02,GBPUSD=X,1.3279,1.3279,1.3385,1.3276,0
2026-07-03,GBPUSD=X,1.334,1.3339,1.3382,1.3335,0
2026-07-06,GBPUSD=X,1.3351,1.3353,1.3368,1.333,0
2026-07-07,GBPUSD=X,1.3395,1.3398,1.3402,1.3362,0
2026-07-08,GBPUSD=X,1.3345,1.3349,1.3378,1.3324,0
2026-07-09,GBPUSD=X,1.3394,1.3396,1.343,1.3385,0
2026-07-10,GBPUSD=X,1.3414,1.3416,1.3452,1.3401,0
2026-07-13,GBPUSD=X,1.3387,1.3387,1.3411,1.3367,0
2026-07-14,GBPUSD=X,1.3351,1.3348,1.3437,1.3343,0
2026-07-15,GBPUSD=X,1.3395,1.3397,1.3498,1.3383,0
2026-07-16,GBPUSD=X,1.3539,1.3541,1.3545,1.3481,0
2026-07-17,GBPUSD=X,1.3479,1.3479,1.3483,1.3427,0
2026-07-20,GBPUSD=X,1.3444,1.3446,1.3481,1.3415,0
2026-07-21,GBPUSD=X,1.3432,1.3432,1.3455,1.3361,0
2026-07-22,GBPUSD=X,1.3379,1.3379,1.3393,1.3357,0
2026-07-23,GBPUSD=X,1.3376,1.3375,1.3394,1.3301,0
2026-07-24,GBPUSD=X,1.3313,1.3313,1.3349,1.3307,0
2026-07-27,GBPUSD=X,1.3353,1.3351,1.3364,1.33,0
2026-07-28,GBPUSD=X,1.3289,1.329,1.3311,1.3273,0
2026-07-29,GBPUSD=X,1.3284,1.3287,1.3309,1.328,0
2026-07-30,GBPUSD=X,1.3369,1.3367,1.3463,1.3333,0
2026-07-31,GBPUSD=X,1.3461,1.3461,1.3472,1.3404,0
2026-08-03,GBPUSD=X,1.3489,1.3492,1.3501,1.3425,0
2026-08-04,GBPUSD=X,1.3428,1.3427,1.3457,1.342,0
2026-08-05,GBPUSD=X,1.3452,1.3451,1.3485,1.3444,0
2026-08-06,GBPUSD=X,1.3468,1.347,1.3479,1.3452,0
2026-08-07,GBPUSD=X,1.3454,1.3455,1.3508,1.3435,0
2026-08-10,GBPUSD=X,1.3489,1.3491,1.353,1.3484,0
2026-08-11,GBPUSD=X,1.3511,1.3511,1.3517,1.3493,0
2026-08-12,GBPUSD=X,1.3509,1.351,1.354,1.3502,0
2026-08-13,GBPUSD=X,1.3499,1.3498,1.3513,1.3476,0
2026-08-14,GBPUSD=X,1.3492,1.3491,1.356,1.3489,0
2026-08-17,GBPUSD=X,1.3548,1.3547,1.3571,1.3548,0
2026-08-18,GBPUSD=X,1.3551,1.355,1.3554,1.352,0
2026-08-19,GBPUSD=X,1.3537,1.3537,1.3629,1.3525,0
2026-08-20,GBPUSD=X,1.3601,1.36,1.3658,1.3596,0
2026-08-21,GBPUSD=X,1.3642,1.3643,1.3675,1.362,0
2026-08-24,GBPUSD=X,1.3655,1.3654,1.3657,1.3624,0
2026-08-25,GBPUSD=X,1.3638,1.3638,1.3653,1.3622,0
2026-08-26,GBPUSD=X,1.3646,1.3647,1.365,1.3585,0
2026-08-27,GBPUSD=X,1.36,1.3597,1.3604,1.3571,0
2026-08-28,GBPUSD=X,1.3597,1.3597,1.36,1.3531,0
2026-08-31,GBPUSD=X,1.354,1.354,1.3565,1.3535,0
2026-09-01,GBPUSD=X,1.3548,1.355,1.3561,1.3525,0
2026-09-02,GBPUSD=X,1.3516,1.3502,1.352,1.3476,0
2026-04-27,AAPL,265.616,267.1333,267.8819,264.5978,41466800
2026-04-28,AAPL,271.8549,270.2278,272.7433,268.1814,40018900
2026-04-29,AAPL,267.0734,269.6887,270.5572,266.5643,30047900
2026-04-30,AAPL,270.0181,270.8666,275.5083,267.6624,91848200
2026-05-01,AAPL,278.3632,279.641,286.7083,277.8741,79915400
2026-05-04,AAPL,279.1618,276.3369,280.1301,274.3704,46668400
2026-05-05,AAPL,276.4367,283.6738,284.0631,276.0075,49311700
2026-05-06,AAPL,281.4178,286.9978,287.5169,280.5693,58336100
2026-05-07,AAPL,288.7547,286.9279,291.6096,285.2709,45224300
2026-05-08,AAPL,289.4934,292.7975,294.2349,289.4834,52692800
2026-05-11,AAPL,291.7284,292.4278,293.6268,289.9799,42247300
2026-05-12,AAPL,292.3079,294.546,295.0156,292.3079,45748100
2026-05-13,AAPL,293.2471,298.6125,300.6607,293.2471,52684300
2026-05-14,AAPL,299.5617,297.953,300.1911,295.1255,35324900
2026-05-15,AAPL,297.6433,299.9713,302.9388,296.2645,54862800
2026-05-18,AAPL,299.9813,297.5833,300.4009,294.6559,34483000
2026-05-19,AAPL,296.7141,298.7124,300.2511,296.0946,42243600
2026-05-20,AAPL,297.9231,301.9896,302.5391,297.8231,38229800
2026-05-21,AAPL,300.8006,304.7272,305.2767,300.1411,42965100
2026-05-22,AAPL,305.8562,308.5539,311.1317,305.5765,43670200
2026-05-26,AAPL,309.2933,308.0643,311.5513,307.4049,48000500
2026-05-27,AAPL,308.0643,310.5822,312.9901,308.0343,50430900
2026-05-28,AAPL,310.4123,312.2407,312.5305,309.3033,48220400
2026-05-29,AAPL,311.5113,311.7911,314.7286,309.2633,70026800
2026-06-01,AAPL,309.3632,306.0461,310.6721,304.7572,48849900
2026-06-02,AAPL,307.1951,314.9284,315.1782,306.4257,44534700
2026-06-03,AAPL,313.9093,309.9926,316.6669,308.5839,50836700
2026-06-04,AAPL,312.9601,310.9618,313.2698,309.3832,44869100
2026-06-05,AAPL,312.5904,307.0752,314.8984,306.8853,65310500
2026-06-08,AAPL,308.474,301.2802,317.1265,300.9105,77949100
2026-06-09,AAPL,300.0212,290.2996,300.4908,287.532,70108800
2026-06-10,AAPL,290.4895,291.3287,294.496,287.1324,52793300
2026-06-11,AAPL,293.4669,295.3752,296.7441,289.3404,42572500
2026-06-12,AAPL,295.7749,290.8792,296.884,289.3704,38742100
2026-06-15,AAPL,293.8665,296.1646,297.5234,291.4486,45732600
2026-06-16,AAPL,294.9956,298.9821,300.2211,293.7167,39874400
2026-06-17,AAPL,300.5907,295.695,301.8097,294.1063,42745100
2026-06-18,AAPL,297.8531,297.7532,300.311,295.3652,85962200
2026-06-22,AAPL,297.0538,296.7541,302.1594,296.5043,44879900
2026-06-23,AAPL,297.2836,294.0464,301.3801,293.9265,52010900
2026-06-24,AAPL,295.1055,292.8274,299.4417,292.6876,53081900
2026-06-25,AAPL,287.1523,274.9129,288.5511,273.5141,107013700
2026-06-26,AAPL,274.763,283.5355,285.7036,273.9737,261775500
2026-06-29,AAPL,286.4829,281.4972,288.1215,279.6089,66427000
2026-06-30,AAPL,280.9277,289.1107,289.6902,280.4581,65100200
2026-07-01,AAPL,293.1872,294.1263,296.3344,288.9508,50164200
2026-07-02,AAPL,293.8665,308.364,309.1534,293.4269,75352800
2026-07-06,AAPL,307.0951,312.3906,313.9293,306.7355,53590000
2026-07-07,AAPL,315.0183,310.3923,315.2082,309.8827,42490000
2026-07-08,AAPL,311.6412,313.12,314.5487,306.7854,41323500
2026-07-09,AAPL,310.2424,315.9475,316.2572,307.8945,48124500
2026-07-10,AAPL,314.4488,315.0483,316.6369,311.901,34132300
2026-07-13,AAPL,316.7468,317.0366,323.1713,315.5079,43257800
2026-07-14,AAPL,313.4897,314.5887,315.9176,311.6412,36336800
2026-07-15,AAPL,317.3463,327.2178,328.4468,317.0466,60957600
2026-07-16,AAPL,327.7274,332.9728,334.3916,326.5084,62970600
2026-07-17,AAPL,331.6939,333.4524,334.7013,328.7165,63407100
2026-07-20,AAPL,333.2226,326.3086,333.4224,323.4011,53468000
2026-07-21,AAPL,322.8516,327.4576,329.316,321.9423,41338900
2026-07-22,AAPL,327.5875,325.6092,328.7165,323.0614,38755900
2026-07-23,AAPL,321.4528,321.3828,323.0214,319.0748,40840800
2026-07-24,AAPL,321.5127,332.733,334.0819,321.3429,47489400
2026-07-27,AAPL,334.2517,336.6197,339.2774,333.7322,49604300
2026-07-28,AAPL,339.737,339.7869,342.5945,335.3108,51859000
2026-07-29,AAPL,339.4373,337.8986,344.2731,337.0593,56090800
2026-07-30,AAPL,332.813,333.1427,334.4615,329.306,74817800
2026-07-31,AAPL,304.5474,308.6438,310.4223,299.7415,132489100
2026-08-03,AAPL,309.3132,303.1586,311.5313,302.2993,75052000
2026-08-04,AAPL,302.4691,309.1134,310.1525,301.0604,68001000
2026-08-05,AAPL,309.0934,310.732,311.4414,305.4066,49438800
2026-08-06,AAPL,314.0691,312.1408,316.0175,308.9636,46139900
2026-08-07,AAPL,311.1816,313.06,314.5387,310.4722,34437200
2026-08-10,AAPL,306.83,308.26,308.26,304.61,44812500
2026-08-11,AAPL,307.75,304.91,309.97,302.79,37476700
2026-08-12,AAPL,305.1,302.25,305.66,300.57,41657800
2026-08-13,AAPL,304.21,305.26,306.0,302.05,40349300
2026-08-14,AAPL,306.0,305.93,307.49,304.3,28229400
2026-08-17,AAPL,306.21,305.59,307.66,302.94,38169300
2026-08-18,AAPL,307.58,310.03,311.49,305.74,53424500
2026-08-19,AAPL,310.14,316.83,319.28,309.6,50505600
2026-08-20,AAPL,317.46,311.3,320.28,310.65,40959200
2026-08-21,AAPL,312.05,309.35,312.38,307.01,46876800
2026-08-24,AAPL,311.47,310.34,313.36,309.97,34673600
2026-08-25,AAPL,310.79,309.9,313.59,308.21,25869800
2026-08-26,AAPL,310.3,313.45,315.43,308.8,34024500
2026-08-27,AAPL,310.55,314.58,315.4,309.4,32419200
2026-08-28,AAPL,316.85,319.7,322.37,315.45,38649400
2026-08-31,AAPL,319.6,316.85,321.24,312.8,41242700
2026-09-01,AAPL,316.98,325.13,327.3,314.73,53119500
2026-09-02,AAPL,326.97,325.715,328.4,323.53,15905791
2026-04-27,MSFT,420.6752,423.1054,425.3861,415.3867,30867300
2026-04-28,MSFT,422.8564,427.5175,428.1848,420.1971,30438100
2026-04-29,MSFT,422.8663,422.7468,425.0973,418.5936,38288300
2026-04-30,MSFT,409.1519,406.1342,412.7474,396.4036,70909400
2026-05-01,MSFT,411.1339,412.7673,415.4265,408.7834,31372400
2026-05-04,MSFT,409.879,411.9506,419.0817,409.1419,28066500
2026-05-05,MSFT,413.6437,409.7196,415.0978,407.15,25700900
2026-05-06,MSFT,406.3532,412.2892,416.7312,403.4749,30285900
2026-05-07,MSFT,418.4144,419.0717,426.2526,417.0698,34942400
2026-05-08,MSFT,415.7054,413.4445,416.9404,412.329,33383800
2026-05-11,MSFT,406.2238,410.9944,411.0243,403.8633,35657900
2026-05-12,MSFT,412.8071,406.1242,413.823,404.9988,38594200
2026-05-13,MSFT,401.5727,403.5745,404.6701,399.4114,29667100
2026-05-14,MSFT,402.8475,407.7775,410.1778,399.262,27077500
2026-05-15,MSFT,412.5979,420.2171,426.4418,411.2434,50771200
2026-05-18,MSFT,414.9385,421.8306,423.4042,413.9325,32564100
2026-05-19,MSFT,428.1649,415.7353,430.9536,414.809,33018700
2026-05-20,MSFT,412.4984,419.3605,420.3963,409.6399,27864000
2026-05-21,MSFT,423.9519,418.3025,425.5389,414.9289,31393500
2026-05-22,MSFT,418.7517,417.7835,423.6026,415.5477,22390300
2026-05-26,MSFT,415.6475,415.2483,418.9813,412.2439,30398000
2026-05-27,MSFT,410.2377,411.8946,415.1585,408.8104,28901500
2026-05-28,MSFT,412.204,426.1877,428.683,411.8946,47250500
2026-05-29,MSFT,431.7372,449.394,449.4838,431.5476,79654400
2026-06-01,MSFT,463.9666,459.6547,465.4438,457.4089,53628900
2026-06-02,MSFT,446.0403,440.4808,452.6479,439.6024,37036800
2026-06-03,MSFT,437.6262,426.537,439.5625,423.4529,39037000
2026-06-04,MSFT,434.9911,427.2457,435.3305,425.6088,26899500
2026-06-05,MSFT,427.5351,415.8871,428.663,413.6213,34782200
2026-06-08,MSFT,413.3619,410.9663,416.3762,407.7923,32086700
2026-06-09,MSFT,408.2614,402.652,411.2059,397.7313,35317300
2026-06-10,MSFT,397.8011,396.6133,404.2789,396.4137,32576000
2026-06-11,MSFT,394.4674,389.6066,396.1043,383.2785,47224100
2026-06-12,MSFT,390.6945,390.0058,391.0039,381.5517,34865800
2026-06-15,MSFT,396.0544,399.0089,400.9951,392.1119,32266400
2026-06-16,MSFT,395.0463,393.09,396.0944,389.9559,31506800
2026-06-17,MSFT,389.5167,378.198,389.6365,376.611,41987800
2026-06-18,MSFT,377.1101,378.6871,380.6534,372.5786,59714200
2026-06-22,MSFT,375.034,366.6498,380.9129,366.3803,45171100
2026-06-23,MSFT,371.6803,373.2374,376.5112,369.9735,40647600
2026-06-24,MSFT,370.8719,364.7733,378.1681,364.0946,44509900
2026-06-25,MSFT,362.0883,352.167,363.5456,348.5439,66179000
2026-06-26,MSFT,356.4789,372.2692,375.9023,354.7621,186201600
2026-06-29,MSFT,376.7907,367.8775,379.785,359.2237,51229900
2026-06-30,MSFT,370.3328,372.3191,373.447,366.7596,44945700
2026-07-01,MSFT,380.1144,383.558,388.0994,374.1856,48065800
2026-07-02,MSFT,383.7576,389.7563,391.4631,382.979,42128900
2026-07-06,MSFT,386.3128,386.0133,388.4188,380.5037,34224500
2026-07-07,MSFT,391.7525,388.1094,394.8267,387.4905,29297500
2026-07-08,MSFT,383.3084,382.6197,384.586,380.6135,25908300
2026-07-09,MSFT,373.7464,383.6378,383.9273,372.6485,31083200
2026-07-10,MSFT,387.0713,384.3764,391.1736,380.7832,24644600
2026-07-13,MSFT,387.0214,390.2553,392.9103,383.4282,28914900
2026-07-14,MSFT,382.1007,384.2067,387.4606,377.9385,27863900
2026-07-15,MSFT,387.0713,394.8866,398.2104,385.674,36253700
2026-07-16,MSFT,397.5616,400.3463,405.2271,391.3133,37047400
2026-07-17,MSFT,394.118,393.08,397.6414,388.6583,33049800
2026-07-20,MSFT,390.6746,401.5341,402.4224,388.9179,27915800
2026-07-21,MSFT,398.0606,397.0026,400.7156,395.5753,24126600
2026-07-22,MSFT,398.8292,389.6066,400.2465,386.2329,28142500
2026-07-23,MSFT,389.2373,380.863,391.0439,376.6809,30351800
2026-07-24,MSFT,386.3227,380.9828,388.299,379.9348,27659400
2026-07-27,MSFT,389.347,388.3689,393.4593,387.261,27856200
2026-07-28,MSFT,392.4213,392.6109,399.5678,390.5647,32367500
2026-07-29,MSFT,392.6608,389.8062,400.4961,388.0095,47209000
2026-07-30,MSFT,437.0772,450.2524,457.8281,431.6275,110160700
2026-07-31,MSFT,449.1545,463.8468,465.9628,448.4857,60846000
2026-08-03,MSFT,475.2354,486.7337,490.7262,474.1075,66762100
2026-08-04,MSFT,479.9964,491.884,498.5016,478.2697,50455500
2026-08-05,MSFT,495.4273,486.5441,497.3038,484.7674,33388900
2026-08-06,MSFT,487.632,498.9207,500.6176,487.6021,36441500
2026-08-07,MSFT,498.272,499.0505,504.2308,497.7929,28846200
2026-08-10,MSFT,502.4941,505.1091,512.7647,501.3262,31206100
2026-08-11,MSFT,503.3824,502.8633,504.3805,498.6113,23049800
2026-08-12,MSFT,499.0505,491.5047,500.5577,490.5964,29001500
2026-08-13,MSFT,492.3431,495.9464,500.398,492.0837,23039000
2026-08-14,MSFT,495.4273,494.4691,499.0705,492.9919,16217600
2026-08-17,MSFT,489.2191,479.4474,491.7343,477.5111,29635800
2026-08-18,MSFT,480.6352,480.725,483.3601,476.2534,24087600
2026-08-19,MSFT,479.168,483.4,488.3806,478.4593,19961900
2026-08-20,MSFT,483.3,481.15,484.16,479.5,20020800
2026-08-21,MSFT,479.88,483.24,486.36,478.53,22510800
2026-08-24,MSFT,483.21,487.31,490.61,481.86,17230800
2026-08-25,MSFT,485.44,491.71,492.44,484.3,19519000
2026-08-26,MSFT,487.85,496.37,497.4,487.31,20758900
2026-08-27,MSFT,494.88,505.06,506.48,490.08,28688800
2026-08-28,MSFT,505.33,513.53,517.78,504.87,29207300
2026-08-31,MSFT,510.38,507.29,512.19,506.39,27208900
2026-09-01,MSFT,497.52,501.02,505.97,496.78,21032500
2026-09-02,MSFT,500.17,494.725,500.27,493.9,6209179
2026-04-27,^TNX,4.312,4.336,4.35,4.31,0
2026-04-28,^TNX,4.371,4.354,4.378,4.351,0
2026-04-29,^TNX,4.362,4.418,4.432,4.362,0
2026-04-30,^TNX,4.392,4.39,4.41,4.382,0
2026-05-01,^TNX,4.368,4.378,4.404,4.342,0
2026-05-04,^TNX,4.4,4.446,4.464,4.39,0
2026-05-05,^TNX,4.426,4.416,4.43,4.406,0
2026-05-06,^TNX,4.366,4.356,4.372,4.348,0
2026-05-07,^TNX,4.334,4.392,4.396,4.314,0
2026-05-08,^TNX,4.372,4.364,4.388,4.346,0
2026-05-11,^TNX,4.392,4.41,4.41,4.378,0
2026-05-12,^TNX,4.437,4.463,4.467,4.423,0
2026-05-13,^TNX,4.465,4.481,4.5,4.461,0
2026-05-14,^TNX,4.439,4.461,4.461,4.436,0
2026-05-15,^TNX,4.548,4.595,4.599,4.546,0
2026-05-18,^TNX,4.599,4.623,4.627,4.564,0
2026-05-19,^TNX,4.617,4.667,4.687,4.613,0
2026-05-20,^TNX,4.643,4.572,4.659,4.566,0
2026-05-21,^TNX,4.609,4.586,4.635,4.554,0
2026-05-22,^TNX,4.542,4.558,4.586,4.528,0
2026-05-26,^TNX,4.489,4.493,4.512,4.479,0
2026-05-27,^TNX,4.471,4.481,4.489,4.449,0
2026-05-28,^TNX,4.508,4.455,4.51,4.437,0
2026-05-29,^TNX,4.441,4.453,4.457,4.426,0
2026-06-01,^TNX,4.457,4.475,4.516,4.445,0
2026-06-02,^TNX,4.43,4.455,4.463,4.428,0
2026-06-03,^TNX,4.485,4.491,4.503,4.475,0
2026-06-04,^TNX,4.457,4.477,4.479,4.449,0
2026-06-05,^TNX,4.467,4.536,4.554,4.465,0
2026-06-08,^TNX,4.54,4.552,4.558,4.516,0
2026-06-09,^TNX,4.546,4.528,4.556,4.52,0
