entity,form,fiscal_year,fiscal_period,start_date,end_date,filed_date,operating_cash_flow
Apple Inc.,10-K,2010,FY,2009-09-27,2010-09-25,2010-10-27,18595000000
Apple Inc.,10-Q,2010,Q3,2009-09-27,2010-06-26,2010-07-21,12912000000
Apple Inc.,10-Q,2010,Q2,2009-09-27,2010-03-27,2010-04-21,8111000000
Apple Inc.,10-Q,2010,Q1,2009-09-27,2009-12-26,2010-01-25,5781000000
Apple Inc.,10-K,2009,FY,2008-09-28,2009-09-26,2009-10-27,10159000000
Apple Inc.,10-Q,2009,Q3,2008-09-28,2009-06-27,2009-07-22,7049000000
Apple Inc.,10-Q,2010,Q2,2008-09-28,2009-03-28,2010-04-21,4779000000
Apple Inc.,10-Q,2010,Q1,2008-09-28,2008-12-27,2010-01-25,3938000000
Apple Inc.,10-K,2009,FY,2007-09-30,2008-09-27,2009-10-27,9596000000
Apple Inc.,10-Q,2009,Q3,2007-09-30,2008-06-28,2009-07-22,5301000000
Apple Inc.,10-K,2009,FY,2006-10-01,2007-09-29,2009-10-27,5470000000
MICROSOFT CORPORATION,10-K,2026,FY,2025-07-01,2026-06-30,2026-07-29,182935000000
MICROSOFT CORPORATION,10-Q,2026,Q3,2025-07-01,2026-03-31,2026-04-29,127494000000
MICROSOFT CORPORATION,10-Q,2026,Q2,2025-07-01,2025-12-31,2026-01-28,80815000000
MICROSOFT CORPORATION,10-Q,2026,Q1,2025-07-01,2025-09-30,2025-10-29,45057000000
MICROSOFT CORPORATION,10-K,2025,FY,2024-07-01,2025-06-30,2025-07-30,136162000000
MICROSOFT CORPORATION,10-Q,2025,Q3,2024-07-01,2025-03-31,2025-04-30,93515000000
MICROSOFT CORPORATION,10-Q,2025,Q2,2024-07-01,2024-12-31,2025-01-29,56471000000
MICROSOFT CORPORATION,10-Q,2025,Q1,2024-07-01,2024-09-30,2024-10-30,34180000000
MICROSOFT CORPORATION,10-K,2024,FY,2023-07-01,2024-06-30,2024-07-30,118548000000
MICROSOFT CORPORATION,10-Q,2024,Q3,2023-07-01,2024-03-31,2024-04-25,81353000000
MICROSOFT CORPORATION,10-Q,2024,Q2,2023-07-01,2023-12-31,2024-01-30,49436000000
MICROSOFT CORPORATION,10-Q,2024,Q1,2023-07-01,2023-09-30,2023-10-24,30583000000
MICROSOFT CORPORATION,10-K,2023,FY,2022-07-01,2023-06-30,2023-07-27,87582000000
MICROSOFT CORPORATION,10-Q,2023,Q3,2022-07-01,2023-03-31,2023-04-25,58812000000
MICROSOFT CORPORATION,10-Q,2023,Q2,2022-07-01,2022-12-31,2023-01-24,34371000000
MICROSOFT CORPORATION,10-Q,2023,Q1,2022-07-01,2022-09-30,2022-10-25,23198000000
MICROSOFT CORPORATION,10-K,2022,FY,2021-07-01,2022-06-30,2022-07-28,89035000000
MICROSOFT CORPORATION,10-Q,2022,Q3,2021-07-01,2022-03-31,2022-04-26,64406000000
MICROSOFT CORPORATION,10-Q,2022,Q2,2021-07-01,2021-12-31,2022-01-25,39020000000
MICROSOFT CORPORATION,10-Q,2022,Q1,2021-07-01,2021-09-30,2021-10-26,24540000000
MICROSOFT CORPORATION,10-K,2021,FY,2020-07-01,2021-06-30,2021-07-29,76740000000
MICROSOFT CORPORATION,10-Q,2021,Q3,2020-07-01,2021-03-31,2021-04-27,54030000000
MICROSOFT CORPORATION,10-Q,2021,Q2,2020-07-01,2020-12-31,2021-01-26,31851000000
MICROSOFT CORPORATION,10-Q,2021,Q1,2020-07-01,2020-09-30,2020-10-27,19335000000
MICROSOFT CORPORATION,10-K,2020,FY,2019-07-01,2020-06-30,2020-07-30,60675000000
MICROSOFT CORPORATION,10-Q,2020,Q3,2019-07-01,2020-03-31,2020-04-29,42002000000
MICROSOFT CORPORATION,10-Q,2020,Q2,2019-07-01,2019-12-31,2020-01-29,24498000000
MICROSOFT CORPORATION,10-Q,2020,Q1,2019-07-01,2019-09-30,2019-10-23,13818000000
MICROSOFT CORPORATION,10-K,2019,FY,2018-07-01,2019-06-30,2019-08-01,52185000000
MICROSOFT CORPORATION,10-Q,2019,Q3,2018-07-01,2019-03-31,2019-04-24,36077000000
MICROSOFT CORPORATION,10-Q,2019,Q2,2018-07-01,2018-12-31,2019-01-30,22557000000
MICROSOFT CORPORATION,10-Q,2019,Q1,2018-07-01,2018-09-30,2018-10-24,13657000000
MICROSOFT CORPORATION,10-K,2018,FY,2017-07-01,2018-06-30,2018-08-03,43884000000
MICROSOFT CORPORATION,10-Q,2018,Q3,2017-07-01,2018-03-31,2018-04-26,32466000000
MICROSOFT CORPORATION,10-Q,2018,Q2,2017-07-01,2017-12-31,2018-01-31,20315000000
MICROSOFT CORPORATION,10-Q,2019,Q1,2017-07-01,2017-09-30,2018-10-24,12440000000
MICROSOFT CORPORATION,10-K,2018,FY,2016-07-01,2017-06-30,2018-08-03,39507000000
MICROSOFT CORPORATION,10-Q,2018,Q3,2016-07-01,2017-03-31,2018-04-26,28502000000
MICROSOFT CORPORATION,10-Q,2018,Q2,2016-07-01,2016-12-31,2018-01-31,17842000000
MICROSOFT CORPORATION,10-K,2018,FY,2015-07-01,2016-06-30,2018-08-03,33325000000
MICROSOFT CORPORATION,10-K,2013,FY,2012-07-01,2013-06-30,2013-07-30,28833000000
MICROSOFT CORPORATION,10-Q,2013,Q3,2012-07-01,2013-03-31,2013-04-18,22930000000
MICROSOFT CORPORATION,10-Q,2013,Q2,2012-07-01,2012-12-31,2013-01-24,13264000000
MICROSOFT CORPORATION,10-Q,2013,Q1,2012-07-01,2012-09-30,2012-10-18,8484000000
MICROSOFT CORPORATION,10-K,2012,FY,2011-07-01,2012-06-30,2012-07-26,31626000000
MICROSOFT CORPORATION,10-Q,2012,Q3,2011-07-01,2012-03-31,2012-04-19,23949000000
MICROSOFT CORPORATION,10-Q,2013,Q2,2011-07-01,2011-12-31,2013-01-24,14355000000
MICROSOFT CORPORATION,10-Q,2012,Q1,2011-07-01,2011-09-30,2011-10-20,8493000000
MICROSOFT CORPORATION,10-K,2011,FY,2010-07-01,2011-06-30,2011-07-28,26994000000
MICROSOFT CORPORATION,10-Q,2011,Q3,2010-07-01,2011-03-31,2011-04-28,21052000000
MICROSOFT CORPORATION,10-Q,2011,Q2,2010-07-01,2010-12-31,2011-01-27,12380000000
MICROSOFT CORPORATION,10-Q,2011,Q1,2010-07-01,2010-09-30,2010-10-28,8194000000
MICROSOFT CORPORATION,10-K,2010,FY,2009-07-01,2010-06-30,2010-07-30,24073000000
MICROSOFT CORPORATION,10-Q,2010,Q3,2009-07-01,2010-03-31,2010-04-22,18469000000
MICROSOFT CORPORATION,10-Q,2010,Q2,2009-07-01,2009-12-31,2010-01-28,11076000000
MICROSOFT CORPORATION,10-Q,2010,Q1,2009-07-01,2009-09-30,2009-10-23,6107000000
MICROSOFT CORPORATION,10-K,2010,FY,2008-07-01,2009-06-30,2010-07-30,19037000000
MICROSOFT CORPORATION,10-Q,2010,Q3,2008-07-01,2009-03-31,2010-04-22,15196000000
MICROSOFT CORPORATION,10-Q,2010,Q2,2008-07-01,2008-12-31,2010-01-28,9152000000
MICROSOFT CORPORATION,10-Q,2010,Q1,2008-07-01,2008-09-30,2009-10-23,3370000000
MICROSOFT CORPORATION,10-K,2010,FY,2007-07-01,2008-06-30,2010-07-30,21612000000
